"date","prec","tmin","tmax","bullet","color","um"
"Mer 1","86.0","-6.2","-4.0","https://www.3bmeteo.com/images/set_icone/7/21.png","#1461A1","mm"
"Gio 2","6.8","-9.0","-6.0","https://www.3bmeteo.com/images/set_icone/7/17.png","#1461A1","mm"
"Ven 3","6.8","-11.3","-8.6","https://www.3bmeteo.com/images/set_icone/7/17.png","#1461A1","mm"
"Sab 4","10.8","-13.1","-8.8","https://www.3bmeteo.com/images/set_icone/7/17.png","#1461A1","mm"
"Dom 5","1.5","-12.2","-6.8","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Lun 6","0.0","-12.0","-9.0","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Mar 7","8.6","-12.0","-8.0","https://www.3bmeteo.com/images/set_icone/7/17.png","#1461A1","mm"
"Mer 8","1.5","-10.0","-3.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 9","0.0","-6.0","-2.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 10","30.8","-10.2","-4.5","https://www.3bmeteo.com/images/set_icone/7/19.png","#1461A1","mm"
"Sab 11","22.8","-10.7","-9.0","https://www.3bmeteo.com/images/set_icone/7/19.png","#1461A1","mm"
"Dom 12","4.7","-11.3","-7.0","https://www.3bmeteo.com/images/set_icone/7/17.png","#1461A1","mm"
"Lun 13","0.0","-10.4","-5.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mar 14","0.0","-9.0","-4.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 15","0.0","-7.1","-1.9","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 16","0.0","-3.3","1.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 17","0.0","-3.4","4.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 18","0.0","-1.3","4.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Dom 19","0.0","-1.1","4.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 20","7.8","-0.4","1.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 21","2.0","-4.0","-0.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mer 22","0.0","-3.2","5.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 23","0.0","-0.2","9.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 24","0.0","3.0","13.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 25","0.0","3.9","11.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 26","4.0","0.8","5.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 27","0.0","-3.0","3.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 28","0.0","-1.7","8.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 29","0.0","-0.7","10.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
