"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","0.0","-0.6","7.2","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Sab 2","0.0","-2.1","5.4","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 3","0.0","-2.1","10.3","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 4","0.0","0.3","10.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 5","4.0","0.8","7.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mer 6","14.0","4.0","6.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 7","13.0","5.9","8.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Ven 8","14.0","5.8","8.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Sab 9","9.0","4.9","9.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 10","20.0","3.9","7.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Lun 11","12.0","2.5","7.1","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mar 12","16.7","1.0","5.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mer 13","11.0","1.7","4.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 14","2.0","-3.3","2.2","https://www.3bmeteo.com/images/set_icone/7/19.png","#1461A1","mm"
"Ven 15","0.0","-4.4","-0.9","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 16","0.0","-5.6","3.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 17","2.8","-2.0","3.0","https://www.3bmeteo.com/images/set_icone/7/19.png","#1461A1","mm"
"Lun 18","43.0","1.9","7.1","https://www.3bmeteo.com/images/set_icone/7/56.png","#1461A1","mm"
"Mar 19","2.3","1.6","7.2","https://www.3bmeteo.com/images/set_icone/7/17.png","#1461A1","mm"
"Mer 20","12.0","1.8","5.2","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 21","1.0","-0.1","9.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 22","0.0","0.6","8.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Sab 23","1.0","2.7","11.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 24","6.0","4.3","10.2","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Lun 25","6.0","-1.4","3.8","https://www.3bmeteo.com/images/set_icone/7/21.png","#1461A1","mm"
"Mar 26","3.2","-1.3","3.2","https://www.3bmeteo.com/images/set_icone/7/19.png","#1461A1","mm"
"Mer 27","0.0","-1.5","6.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 28","3.0","1.9","9.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 29","27.0","6.8","9.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Sab 30","24.0","5.9","10.2","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Dom 31","14.0","3.0","6.1","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
