"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","0.0","7.1","20.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 2","0.0","6.0","21.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 3","0.0","6.4","20.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 4","0.0","5.2","21.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 5","8.0","8.0","17.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 6","0.0","3.9","21.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 7","0.0","7.3","23.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 8","0.0","7.5","23.1","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 9","0.0","8.0","25.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 10","0.0","8.3","25.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 11","0.0","5.2","24.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 12","3.0","8.4","20.0","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 13","6.0","5.1","17.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 14","6.0","3.7","13.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 15","6.0","6.9","13.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 16","0.0","4.7","14.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 17","0.0","3.9","17.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 18","0.0","4.3","18.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 19","0.0","3.7","19.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 20","0.0","3.3","21.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 21","0.0","5.4","20.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 22","0.0","5.6","20.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 23","2.0","9.0","16.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Dom 24","6.0","10.5","18.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 25","0.0","7.5","20.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 26","0.0","8.8","18.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 27","0.0","10.2","16.4","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 28","2.0","7.3","17.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 29","6.0","6.6","19.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Sab 30","4.0","7.3","17.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
