"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","0.0","2.5","14.3","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Sab 2","0.0","0.8","17.3","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Dom 3","0.0","0.3","18.4","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Lun 4","3.0","-0.1","16.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 5","0.0","5.1","13.3","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 6","0.0","-0.9","16.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 7","2.0","6.7","15.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Ven 8","0.0","4.3","15.4","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 9","0.0","1.8","14.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 10","2.0","3.7","14.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Lun 11","12.9","3.9","15.5","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 12","2.0","-0.3","11.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 13","3.0","0.7","11.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Gio 14","0.0","0.2","15.3","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 15","0.0","2.5","16.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 16","0.0","1.7","17.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 17","0.0","5.6","14.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 18","16.0","5.2","9.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 19","3.8","3.1","10.2","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mer 20","0.0","1.0","12.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 21","0.0","1.3","16.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 22","0.0","1.5","19.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 23","0.0","2.8","20.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 24","0.0","4.1","21.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 25","0.0","1.6","19.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 26","17.1","3.9","10.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 27","0.0","3.1","13.1","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Gio 28","0.0","0.6","15.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 29","0.0","1.1","16.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 30","0.0","1.1","19.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 31","0.0","2.1","20.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
