"date","prec","tmin","tmax","bullet","color","um"
"Gio 1","9.0","6.0","9.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 2","5.0","5.9","10.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 3","2.0","5.6","11.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 4","27.0","7.9","13.1","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Lun 5","9.0","5.7","12.8","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 6","4.0","4.6","9.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 7","0.0","3.0","6.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 8","0.0","2.5","10.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 9","0.0","2.9","11.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 10","1.0","4.6","11.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 11","55.0","10.3","12.0","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Lun 12","115.0","8.0","10.2","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Mar 13","24.0","8.2","11.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 14","0.0","2.7","9.5","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 15","0.0","2.2","6.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 16","0.0","-0.2","7.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 17","0.0","1.6","10.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 18","1.0","4.7","9.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 19","9.0","5.0","6.3","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 20","4.0","4.5","6.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 21","0.0","3.6","8.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 22","0.0","3.8","9.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 23","0.0","4.8","9.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 24","0.0","4.7","8.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 25","0.0","4.0","7.1","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Lun 26","0.0","3.9","9.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mar 27","6.0","4.9","8.3","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 28","14.0","4.2","7.7","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 29","6.0","2.5","4.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 30","2.0","1.3","3.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
