"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","7.0","8.4","15.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Lun 2","0.0","9.6","21.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 3","3.0","7.2","20.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 4","0.0","10.8","23.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 5","0.0","7.3","22.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 6","9.0","11.3","21.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 7","0.0","6.0","20.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 8","1.0","3.7","18.2","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Lun 9","0.0","4.6","21.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Mar 10","0.0","4.3","21.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 11","0.0","3.5","22.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Gio 12","0.0","4.3","18.2","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Ven 13","0.0","4.5","22.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Sab 14","0.0","3.5","22.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Dom 15","0.0","3.6","23.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Lun 16","0.0","2.7","25.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Mar 17","0.0","2.8","23.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Mer 18","0.0","2.8","22.1","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 19","0.0","1.7","22.2","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Ven 20","0.0","1.6","22.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Sab 21","0.0","2.5","19.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Dom 22","6.0","10.6","19.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 23","2.0","5.3","17.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 24","0.0","0.5","20.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 25","0.0","-0.1","20.3","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 26","0.0","1.0","22.1","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Ven 27","0.0","1.7","13.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Sab 28","0.0","4.0","18.2","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Dom 29","0.0","2.4","16.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 30","0.0","3.9","18.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 31","0.0","2.2","16.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
