"date","prec","tmin","tmax","bullet","color","um"
"Gio 1","0.0","-2.5","8.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 2","0.0","-1.3","12.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 3","1.0","1.6","12.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 4","2.0","4.8","14.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 5","0.0","2.5","11.3","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 6","0.0","1.1","13.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 7","3.0","1.9","12.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 8","0.0","5.1","12.2","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Ven 9","0.0","5.4","14.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 10","0.0","6.0","14.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 11","0.0","8.7","13.0","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Lun 12","0.0","4.0","14.3","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 13","0.0","0.4","14.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 14","0.0","5.2","13.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 15","0.0","2.8","13.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Ven 16","0.0","3.6","14.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 17","10.0","8.2","13.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 18","5.0","6.0","10.2","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Lun 19","3.0","1.8","13.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 20","13.0","5.5","10.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 21","27.0","6.1","10.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 22","27.0","5.8","10.2","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 23","3.0","6.0","13.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 24","0.0","4.6","13.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 25","0.0","3.3","11.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 26","0.0","2.0","12.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 27","0.0","-1.4","9.1","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 28","0.0","0.3","9.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 29","6.0","-2.4","8.6","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 30","21.0","5.3","11.5","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Sab 31","21.0","3.0","7.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
