"date","prec","tmin","tmax","bullet","color","um"
"Lun 1","7.0","17.4","20.4","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mar 2","3.0","15.4","27.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 3","10.0","14.5","26.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 4","5.0","14.7","26.3","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Ven 5","3.0","14.6","27.3","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Sab 6","5.0","16.5","27.2","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Dom 7","0.0","14.5","28.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 8","0.0","15.7","27.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 9","0.0","16.4","27.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 10","14.0","16.3","27.6","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 11","21.0","15.1","23.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 12","0.0","17.3","25.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 13","0.0","13.8","24.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 14","0.0","11.6","25.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 15","0.0","12.6","25.2","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Mar 16","0.0","14.5","26.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 17","0.0","13.9","25.1","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Gio 18","5.0","15.4","26.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 19","0.0","15.6","29.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 20","0.0","20.8","27.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Dom 21","0.0","17.9","28.3","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Lun 22","0.0","17.5","26.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 23","5.0","14.8","24.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 24","8.0","14.3","22.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 25","6.0","14.3","22.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Ven 26","0.0","12.5","23.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 27","0.0","11.2","25.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 28","0.0","11.4","25.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 29","0.0","13.6","24.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 30","0.0","12.0","24.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
