"date","prec","tmin","tmax","bullet","color","um"
"Gio 1","11.0","12.8","14.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 2","10.0","13.6","21.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 3","0.0","12.8","21.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Dom 4","17.1","13.5","21.3","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Lun 5","0.0","14.6","22.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mar 6","11.0","16.4","23.1","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Mer 7","8.0","14.5","21.3","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 8","0.0","13.1","22.2","https://www.3bmeteo.com/images/set_icone/7/39.png","#1461A1","mm"
"Ven 9","0.0","10.4","22.2","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Sab 10","15.0","13.9","16.2","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 11","0.0","11.7","20.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 12","5.0","8.1","20.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 13","17.0","14.5","19.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 14","13.0","15.0","18.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 15","9.0","11.4","15.5","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Ven 16","8.0","8.6","16.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 17","2.0","8.4","17.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 18","2.0","7.5","17.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 19","15.0","12.8","19.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 20","0.0","7.3","18.3","https://www.3bmeteo.com/images/set_icone/7/39.png","#1461A1","mm"
"Mer 21","0.0","6.2","16.1","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Gio 22","0.0","7.7","15.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 23","0.0","7.7","17.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 24","0.0","6.2","21.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 25","0.0","5.2","19.1","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Lun 26","0.0","6.8","19.2","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Mar 27","0.0","6.3","16.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mer 28","30.0","13.0","16.0","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Gio 29","17.0","11.9","18.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 30","0.0","10.2","19.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 31","0.0","8.6","17.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
