"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","0.0","5.7","14.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Sab 2","32.0","3.9","13.2","https://www.3bmeteo.com/images/set_icone/7/56.png","#1461A1","mm"
"Dom 3","3.0","3.0","8.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 4","0.0","-1.3","12.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 5","5.0","1.2","9.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mer 6","11.0","4.8","11.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 7","8.0","1.9","7.2","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 8","0.0","1.2","7.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 9","0.0","-1.5","6.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 10","0.0","-3.0","6.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 11","27.0","-1.2","5.0","https://www.3bmeteo.com/images/set_icone/7/19.png","#1461A1","mm"
"Mar 12","2.0","0.8","7.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 13","1.0","-0.6","8.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 14","0.0","1.6","10.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 15","0.0","-1.5","11.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 16","0.0","-0.2","11.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 17","0.0","-0.7","10.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 18","0.0","1.7","9.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 19","0.0","-2.2","10.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 20","0.0","0.5","7.0","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Gio 21","11.0","3.6","8.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 22","8.0","0.9","6.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Sab 23","18.9","-1.1","4.4","https://www.3bmeteo.com/images/set_icone/7/21.png","#1461A1","mm"
"Dom 24","3.8","1.8","7.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Lun 25","3.4","1.2","7.3","https://www.3bmeteo.com/images/set_icone/7/17.png","#1461A1","mm"
"Mar 26","0.0","-2.0","12.1","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Mer 27","0.0","-1.5","8.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 28","0.0","-0.5","13.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
