"date","prec","tmin","tmax","bullet","color","um"
"Gio 1","4.4","-0.4","11.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 2","7.0","7.1","14.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 3","13.0","4.2","12.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Dom 4","4.0","5.6","12.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Lun 5","32.0","6.8","9.1","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Mar 6","42.0","6.8","10.0","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Mer 7","19.0","6.4","12.3","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 8","0.0","2.0","14.1","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Ven 9","0.0","6.7","15.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 10","0.0","6.0","14.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Dom 11","8.0","8.9","16.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 12","5.0","8.1","12.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 13","0.0","6.5","14.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 14","0.0","3.4","13.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 15","13.0","4.8","12.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Ven 16","4.0","8.0","11.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 17","10.0","8.2","11.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 18","21.0","5.9","9.3","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Lun 19","24.0","4.9","8.1","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mar 20","10.0","4.3","8.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 21","10.0","3.9","11.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Gio 22","0.0","2.7","11.4","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Ven 23","0.0","1.7","11.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 24","0.0","-0.3","10.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 25","0.0","2.6","14.1","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Lun 26","2.0","4.0","13.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 27","0.0","2.7","14.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 28","0.0","6.2","13.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 29","0.0","9.2","17.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 30","4.0","10.9","17.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Sab 31","35.0","7.3","13.4","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
