"date","prec","tmin","tmax","bullet","color","um"
"Mar 1","5.0","0.5","10.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 2","5.0","5.0","9.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Gio 3","0.0","4.4","13.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 4","0.0","1.5","11.1","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 5","0.0","2.3","12.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 6","0.0","1.9","12.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 7","0.0","2.8","13.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 8","0.0","3.2","11.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 9","0.0","4.6","10.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 10","9.0","4.3","9.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 11","8.0","4.0","10.2","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Sab 12","0.0","-0.2","10.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 13","36.0","6.3","9.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Lun 14","23.0","5.7","8.2","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mar 15","6.8","3.9","9.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mer 16","30.0","1.0","4.4","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 17","9.9","0.4","4.1","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Ven 18","1.4","-1.5","6.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 19","8.0","-1.6","5.0","https://www.3bmeteo.com/images/set_icone/7/17.png","#1461A1","mm"
"Dom 20","27.0","5.5","13.0","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Lun 21","14.0","5.3","10.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 22","21.0","3.8","8.1","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mer 23","18.0","3.3","7.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Gio 24","2.0","3.5","9.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 25","0.0","0.7","9.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 26","0.0","-1.5","7.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 27","0.0","-2.5","9.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 28","11.0","2.0","6.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 29","0.0","1.2","11.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 30","0.0","2.8","12.3","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 31","0.0","5.0","15.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
